,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
116,58629345,Longfield Estate London SE1,3,"£375,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58629345.html,Reduced ,2018-06-12 00:00:00,7,51.49214,-0.0741,"Acorn, Peckham Rye",020 8012 2626,22/02/2019,21/02/2019
117,65185582,"Rowcross Street, South Bermondsey, SE1",2,"£425,000", flat,https://www.rightmove.co.uk//property-for-sale/property-65185582.html,Reduced ,2018-06-12 00:00:00,7,51.488269,-0.072403,"Foxtons, London Bridge",020 8012 6757,22/02/2019,21/02/2019
118,58628220,"Kipling Street, Bermondsey",1,"£475,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58628220.html,Added ,2018-06-12 00:00:00,13,51.50181,-0.08767,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
119,77670191,"Hamilton Square, Kipling Street, London Bridge, SE1",1,"£475,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77670191.html,Added ,2018-05-12 00:00:00,9,51.501545,-0.088085,"Williams Lynch, London",020 8012 2590,22/02/2019,21/02/2019
120,68887642,"Abbey Street, Tower Bridge",2,"£375,000", flat,https://www.rightmove.co.uk//property-for-sale/property-68887642.html,Added ,2018-05-12 00:00:00,7,51.49865,-0.071208,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
121,76486298,"Tavern Court, New Kent Road, London, SE1",2,"£500,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-76486298.html,Reduced ,2018-04-12 00:00:00,11,51.494638,-0.09526,"Kalmars Residential , Shad Thames",020 8012 7289,22/02/2019,21/02/2019
122,77329958,"Southwark Park Road, London, SE16",4,"£460,000", maisonett,https://www.rightmove.co.uk//property-for-sale/property-77329958.html,Reduced ,2018-04-12 00:00:00,9,51.492873,-0.070397,"Kalmars Residential , Shad Thames",020 8012 7289,22/02/2019,21/02/2019
123,77642486,"Quastel House, Long Lane, London",1,"£500,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-77642486.html,Added ,2018-04-12 00:00:00,8,51.500995,-0.091488,"ea2 Estate Agency, Wapping",020 8012 4877,22/02/2019,21/02/2019
124,68869378,"Pardoner Street, London Bridge",2,"£495,000", flat,https://www.rightmove.co.uk//property-for-sale/property-68869378.html,Added ,2018-04-12 00:00:00,7,51.497667,-0.087887,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
125,78884003,Wordsworth Road Bermondsey SE1,2,"£410,000", maisonett,https://www.rightmove.co.uk//property-for-sale/property-78884003.html,Added ,2018-03-12 00:00:00,8,51.49054,-0.07503,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
